IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.26.170.64,4,4,0.00,0.64,41.18
104.19.153.70,4,4,0.00,0.58,40.86
172.65.135.92,4,4,0.00,0.74,40.58
104.26.171.172,4,4,0.00,0.59,40.25
104.19.154.109,4,4,0.00,0.43,40.19
172.65.134.12,4,4,0.00,0.57,39.91
172.65.131.209,4,4,0.00,0.49,39.28
172.65.132.73,4,4,0.00,0.24,38.95
104.26.169.103,4,4,0.00,0.76,38.53
172.65.133.247,4,4,0.00,0.32,33.44
